"temperature
(°C degrees)","pressure
(hpa)","humidity
(%)","wind_speed
(km/h)","wind_direction
(degrees from North)",solarradiation (W/m2),uv index,"rainfall
(mm)","total_rainfall
(mm)"
30.620689655172395,1018.3258620689656,85.03448275862068,1.4097201724137935,132.79310344827587,0.0,0.0,0.0,696.590620689655,22,20-06-2019
31.451666666666664,1017.9383333333338,77.88333333333334,2.0921521666666667,204.2,0.0,0.0,0.0,696.1970666666664,23,20-06-2019
31.46000000000001,1018.1733333333336,73.51666666666667,2.5265268333333326,209.58333333333334,0.0,0.0,0.0,696.1970666666664,0,21-06-2019
31.037931034482767,1018.2999999999996,75.10344827586206,1.7966422413793102,210.13793103448276,0.0,0.0,0.0,696.590620689655,1,21-06-2019
30.63389830508476,1017.5457627118651,74.28813559322033,1.474477288135593,220.4915254237288,0.0,0.0,0.0,696.390508474576,2,21-06-2019
30.31333333333334,1016.8416666666673,71.8,1.6182878333333335,227.61666666666667,0.0,0.0,0.0,696.1970666666664,3,21-06-2019
30.081666666666703,1016.596666666666,69.58333333333333,1.6898149999999996,228.13333333333333,0.0,0.0,0.0,696.1970666666664,4,21-06-2019
29.75000000000001,1016.3833333333326,70.91666666666667,1.3582589999999999,246.51666666666668,0.0,0.0,0.0,696.1970666666664,5,21-06-2019
29.573333333333366,1016.5166666666667,70.96666666666667,1.2971635000000001,243.81666666666666,1.3591666666666666,0.0,0.0,696.1970666666664,6,21-06-2019
29.891666666666687,1017.2499999999992,67.56666666666666,1.2338323333333332,254.56666666666666,59.264,0.0,0.0,696.1970666666664,7,21-06-2019
30.85344827586205,1018.765517241379,63.93103448275862,1.5515401724137923,259.91379310344826,154.9481034482758,0.8620689655172413,0.0,696.590620689655,8,21-06-2019
32.35499999999998,1018.9916666666674,59.1,1.5944463333333332,258.1166666666667,306.7841666666666,2.5166666666666666,0.0,696.1970666666664,9,21-06-2019
33.45084745762711,1019.5728813559322,53.79661016949152,2.5784411864406773,260.52542372881356,427.3167796610171,3.711864406779661,0.0,696.390508474576,10,21-06-2019
