"temperature
(°C degrees)","pressure
(hpa)","humidity
(%)","wind_speed
(km/h)","wind_direction
(degrees from North)",solarradiation (W/m2),uv index,"rainfall
(mm)","total_rainfall
(mm)"
29.3,1001.4,76,0.71527,248,0.0,0,0.0,684.784,22-06-2019,21:00
28.8,1001.4,79,0.58115,194,0.0,0,0.0,684.784,22-06-2019,22:00
28.6,1001.4,78,0.0,225,0.0,0,0.0,684.784,22-06-2019,23:00
28.5,1001.0,77,0.58115,233,0.0,0,0.0,684.784,23-06-2019,00:00
28.6,1000.7,76,0.40234000000000003,229,0.0,0,0.0,684.784,23-06-2019,01:00
28.6,1000.0,76,0.80467,173,0.0,0,0.0,684.784,23-06-2019,02:00
28.5,999.7,76,0.40234000000000003,179,0.0,0,0.0,684.784,23-06-2019,03:00
28.8,999.7,76,0.0,181,0.0,0,0.0,684.784,23-06-2019,04:00
28.7,1000.0,77,0.80467,186,0.0,0,0.0,684.784,23-06-2019,05:00
29.0,1000.0,74,1.51994,216,3.43,0,0.0,684.784,23-06-2019,06:00
29.3,1000.7,72,0.58115,232,68.87,0,0.0,684.784,23-06-2019,07:00
30.0,1001.7,69,1.51994,225,149.98,1,0.0,684.784,23-06-2019,08:00
32.0,1001.0,63,1.51994,229,674.56,6,0.0,684.784,23-06-2019,09:00
33.5,1001.0,55,0.49173999999999995,215,785.52,7,0.0,684.784,23-06-2019,10:01
34.8,1000.3,51,4.29159,259,852.44,8,0.0,684.784,23-06-2019,11:00
35.4,999.7,47,3.62103,205,707.96,6,0.0,684.784,23-06-2019,12:00
36.6,999.0,46,2.68225,278,1018.08,9,0.0,684.784,23-06-2019,13:00
34.1,998.0,60,5.31979,167,601.16,5,0.0,684.784,23-06-2019,14:00
33.4,997.3,59,6.705610000000001,139,679.7,6,0.0,684.784,23-06-2019,15:00
34.2,997.0,59,2.81636,99,442.49,4,0.0,684.784,23-06-2019,16:00
33.5,997.0,64,3.39751,172,246.75,2,0.0,684.784,23-06-2019,17:00
30.6,997.6,81,3.39751,153,27.65,0,0.0,684.784,23-06-2019,18:00
30.1,998.3,84,1.7881599999999997,129,0.0,0,0.0,684.784,23-06-2019,19:00
27.6,1000.7,95,0.80467,223,0.0,0,0.0,685.8,23-06-2019,20:00
26.2,1001.4,99,1.60935,91,0.0,0,0.0,687.578,23-06-2019,21:00
26.7,1001.0,99,1.1176,122,0.0,0,0.0,687.578,23-06-2019,22:00
28.2,1001.0,96,1.2964200000000001,203,0.0,0,0.0,687.578,23-06-2019,23:00
26.2,1001.7,99,1.7881599999999997,309,0.0,0,0.0,687.578,24-06-2019,00:00
26.0,1000.7,99,0.17882,215,0.0,0,0.0,688.086,24-06-2019,01:00
26.2,1000.3,99,0.0,207,0.0,0,0.0,688.086,24-06-2019,02:00
25.8,999.7,99,0.31293000000000004,147,0.0,0,0.0,688.086,24-06-2019,03:00
26.0,999.7,99,0.58115,218,0.0,0,0.0,688.086,24-06-2019,04:00
25.8,1000.3,99,0.31293000000000004,167,0.0,0,0.0,688.086,24-06-2019,05:00
26.0,1001.4,99,0.0,216,4.28,0,0.0,688.086,24-06-2019,06:00
26.5,1001.7,99,0.0,214,78.41,0,0.0,688.086,24-06-2019,07:00
27.6,1002.7,95,0.71527,234,191.7,1,0.0,688.086,24-06-2019,08:00
29.3,1003.4,87,0.58115,243,295.81,2,0.0,688.086,24-06-2019,09:00
30.9,1002.7,76,1.38583,254,360.4,3,0.0,688.086,24-06-2019,10:00
31.6,1002.4,72,0.71527,261,337.03,3,0.0,688.086,24-06-2019,11:02
32.5,1001.7,66,0.71527,253,328.35,3,0.0,688.086,24-06-2019,12:00
32.7,1001.4,71,0.98349,171,445.06,4,0.0,688.086,24-06-2019,13:01
33.3,1000.3,67,1.38583,104,438.94,4,0.0,688.086,24-06-2019,14:00
32.9,999.7,69,0.98349,115,316.61,3,0.0,688.086,24-06-2019,15:00
31.5,999.0,74,1.7881599999999997,159,270.61,2,0.0,688.086,24-06-2019,16:00
30.7,999.0,78,2.10109,78,172.61,1,0.0,688.086,24-06-2019,17:00
30.4,999.7,80,0.8940799999999999,201,55.41,0,0.0,688.086,24-06-2019,18:00
29.4,1000.0,87,2.1905,147,0.0,0,0.0,688.086,24-06-2019,19:00
29.3,1001.0,88,2.2799099999999997,169,0.0,0,0.0,688.086,24-06-2019,20:00
29.5,1002.0,82,2.10109,164,0.0,0,0.0,688.086,24-06-2019,21:00
27.0,1003.4,79,6.6162,197,0.0,0,0.0,688.086,24-06-2019,22:00
27.2,1002.7,82,0.80467,174,0.0,0,0.0,688.086,24-06-2019,23:00
26.2,1003.0,85,0.31293000000000004,225,0.0,0,0.0,688.086,25-06-2019,00:01
25.8,1002.0,87,0.08941,232,0.0,0,0.0,688.086,25-06-2019,01:00
26.3,1002.0,87,0.49173999999999995,244,0.0,0,0.0,688.086,25-06-2019,02:01
26.3,1001.7,88,0.80467,251,0.0,0,0.0,688.086,25-06-2019,03:00
26.8,1001.4,87,0.17882,212,0.0,0,0.0,688.086,25-06-2019,04:00
26.7,1002.0,89,0.0,212,0.0,0,0.0,688.086,25-06-2019,05:00
26.7,1002.4,90,0.0,212,4.28,0,0.0,688.086,25-06-2019,06:00
26.8,1003.0,89,0.40234000000000003,228,59.82,0,0.0,688.086,25-06-2019,07:00
28.1,1003.0,86,0.49173999999999995,224,129.68,1,0.0,688.086,25-06-2019,08:00
29.5,1003.4,83,1.38583,275,185.58,1,0.0,688.086,25-06-2019,09:00
31.2,1003.4,70,1.51994,218,405.18,3,0.0,688.086,25-06-2019,10:00
32.1,1003.4,65,1.2964200000000001,245,438.94,4,0.0,688.086,25-06-2019,11:00
33.9,1002.4,54,0.80467,217,467.57,4,0.0,688.086,25-06-2019,12:00
35.7,1001.7,46,1.6987599999999998,327,777.32,7,0.0,688.086,25-06-2019,13:00
34.0,1000.7,59,3.62103,106,429.89,4,0.0,688.086,25-06-2019,14:00
33.7,1000.3,60,0.31293000000000004,147,465.0,4,0.0,688.086,25-06-2019,15:01
