Date and Time,TA in,TA out,RH in,RH out,intensity_in,Intensity_out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,Clo ,Wl-1Facing,Wl-2Facing
06/14/19 10:00:00 PM,33.443,33.157,58.304,63.839,11.8,,,,,,,,,,,,,,,,,
06/14/19 11:00:00 PM,33.391,32.768,58.932,66.941,11.8,,,,,,,,,,,,,,,,,
06/15/19 12:00:00 AM,33.365,32.51,59.118,66.619,11.8,,,,,,,,,,,,,,,,,
06/15/19 01:00:00 AM,33.287,32.124,59.392,66.738,11.8,,,,,,,,,,,,,,,,,
06/15/19 02:00:00 AM,33.209,31.765,59.633,67.936,11.8,,,,,,,,,,,,,,,,,
06/15/19 03:00:00 AM,33.131,31.586,59.843,68.701,11.8,,,,,,,,,,,,,,,,,
06/15/19 04:00:00 AM,33.053,31.153,60.021,68.533,11.8,,,,,,,,,,,,,,,,,
06/15/19 05:00:00 AM,32.924,30.849,60.127,67.746,11.8,,,,,,,,,,,,,,,,,
06/15/19 06:00:00 AM,32.768,30.976,60.166,67.002,11.8,,,,,,,,,,,,,,,,,
06/15/19 07:00:00 AM,32.639,30.773,60.241,65.583,11.8,,,,,,,,,,,,,,,,,
06/15/19 08:00:00 AM,32.613,31.433,60.332,63.308,11.8,,,,,,,,,,,,,,,,,
06/15/19 09:00:00 AM,32.639,32.639,60.304,55.602,11.8,,,,,,,,,,,,,,,,,
06/15/19 10:00:00 AM,33.235,34.124,60.744,48.109,11.8,,,,,,,,,,,,,,,,,
06/15/19 11:00:00 AM,33.183,34.969,59.503,46.231,11.8,,,,,,,,,,,,,,,,,
06/15/19 12:00:00 PM,32.665,35.877,57.775,43.605,11.8,,,,,,,,,,,,,,,,,
06/15/19 01:00:00 PM,35.022,36.688,58.668,42.419,11.8,,,,,,,,,,,,,,,,,
06/15/19 02:00:00 PM,34.545,37.921,56.388,37.625,11.8,,,,,,,,,,,,,,,,,
06/15/19 03:00:00 PM,35.958,36.579,55.979,51.312,11.8,,,,,,,,,,,,,,,,,
06/15/19 04:00:00 PM,35.049,36.606,52.677,59.769,11.8,,,,,,,,,,,,,,,,,
06/15/19 05:00:00 PM,34.229,36.039,52.209,60.193,11.8,,,,,,,,,,,,,,,,,
06/15/19 06:00:00 PM,34.334,34.889,52.775,63.557,11.8,,,,,,,,,,,,,,,,,
06/15/19 07:00:00 PM,34.308,34.598,53.485,65.513,11.8,,,,,,,,,,,,,,,,,
06/15/19 08:00:00 PM,34.229,33.992,54.379,69.741,11.8,,,,,,,,,,,,,,,,,
06/15/19 09:00:00 PM,34.15,34.36,55.367,65.286,11.8,,,,,,,,,,,,,,,,,
06/15/19 10:00:00 PM,34.15,33.966,56.331,64.253,11.8,,,,,,,,,,,,,,,,,
06/15/19 11:00:00 PM,34.045,33.001,57.085,66.3,11.8,,,,,,,,,,,,,,,,,
06/16/19 12:00:00 AM,33.94,32.691,57.74,69.234,11.8,,,,,,,,,,,,,,,,,
06/16/19 01:00:00 AM,33.809,32.355,58.327,69.602,11.8,,,,,,,,,,,,,,,,,
06/16/19 02:00:00 AM,33.652,31.893,58.844,68.97,11.8,,,,,,,,,,,,,,,,,
06/16/19 03:00:00 AM,33.521,31.714,59.237,67.928,11.8,,,,,,,,,,,,,,,,,
06/16/19 04:00:00 AM,33.365,31.306,59.499,68.621,11.8,,,,,,,,,,,,,,,,,
06/16/19 05:00:00 AM,33.235,31.052,59.701,68.942,11.8,,,,,,,,,,,,,,,,,
06/16/19 06:00:00 AM,33.105,30.925,59.839,68.004,11.8,,,,,,,,,,,,,,,,,
06/16/19 07:00:00 AM,33.001,30.824,60.013,66.484,11.8,,,,,,,,,,,,,,,,,
06/16/19 08:00:00 AM,32.949,31.561,60.068,61.925,11.8,,,,,,,,,,,,,,,,,
06/16/19 09:00:00 AM,32.975,32.691,60.04,55.289,11.8,,,,,,,,,,,,,,,,,
06/16/19 10:00:00 AM,32.975,33.861,59.882,51.185,11.8,,,,,,,,,,,,,,,,,
06/16/19 11:00:00 AM,33.001,35.075,59.697,46.111,11.8,,,,,,,,,,,,,,,,,
06/16/19 12:00:00 PM,33.105,36.146,59.396,43.702,11.8,,,,,,,,,,,,,,,,,
06/16/19 01:00:00 PM,33.261,36.933,59.071,40.622,11.8,,,,,,,,,,,,,,,,,
06/16/19 02:00:00 PM,33.391,38.254,58.646,45.619,11.8,,,,,,,,,,,,,,,,,
06/16/19 03:00:00 PM,33.809,37.7,58.581,48.42,11.8,,,,,,,,,,,,,,,,,
06/16/19 04:00:00 PM,34.071,37.398,58.525,51.814,11.8,,,,,,,,,,,,,,,,,
06/16/19 05:00:00 PM,34.229,36.335,58.549,59.344,11.8,,,,,,,,,,,,,,,,,
06/16/19 06:00:00 PM,34.176,34.81,58.796,65.642,11.8,,,,,,,,,,,,,,,,,
06/16/19 07:00:00 PM,33.992,34.677,59.118,64.776,11.8,,,,,,,,,,,,,,,,,
06/16/19 08:00:00 PM,33.757,33.783,59.559,66.588,11.8,,,,,,,,,,,,,,,,,
06/16/19 09:00:00 PM,33.626,33.652,60.204,69.895,11.8,,,,,,,,,,,,,,,,,
06/16/19 10:00:00 PM,34.019,33.521,62.851,68.089,11.8,,,,,,,,,,,,,,,,,
06/16/19 11:00:00 PM,33.757,32.898,63.028,65.88,11.8,,,,,,,,,,,,,,,,,
